week,store_id,product_id,units_sold,selling_price
1,S01,P001,17,51.95
1,S01,P002,7,38.57
1,S01,P003,25,34.52
1,S01,P004,29,35.43
1,S01,P005,19,19.55
1,S01,P006,42,23.15
1,S01,P007,3,26.69
1,S01,P008,7,48.63
1,S01,P009,16,41.72
1,S01,P010,49,22.41
1,S01,P011,18,31.22
1,S01,P012,5,30.52
1,S01,P013,23,25.79
1,S01,P014,10,35.7
1,S01,P015,26,41.4
1,S01,P016,41,42.88
1,S01,P017,10,30.63
1,S01,P018,37,28.35
1,S01,P019,13,38.23
1,S01,P020,18,50.18
1,S01,P021,19,27.7
1,S01,P022,5,36.8
1,S01,P023,11,27.99
1,S01,P024,14,20.78
1,S01,P025,8,44.82
1,S01,P026,16,52.6
1,S01,P027,16,30.92
1,S01,P028,9,40.76
1,S01,P029,8,38.72
1,S01,P030,14,27.36
1,S01,P031,14,33.05
1,S01,P032,12,56.36
1,S01,P033,5,37.99
1,S01,P034,3,57.54
1,S01,P035,10,12.19
1,S01,P036,23,43.54
1,S01,P037,20,40.5
1,S01,P038,10,29.28
1,S01,P039,13,39.04
1,S01,P040,23,18.75
1,S01,P041,4,28.96
1,S01,P042,21,40.62
1,S01,P043,10,57.07
1,S01,P044,14,29.11
1,S01,P045,14,27.81
1,S01,P046,7,30.36
1,S01,P047,16,40.46
1,S01,P048,6,44.39
1,S01,P049,9,28.19
1,S01,P050,10,36.79
1,S02,P001,25,50.44
1,S02,P002,21,36.91
1,S02,P003,22,35.79
1,S02,P004,35,34.47
1,S02,P005,31,19.39
1,S02,P006,40,22.87
1,S02,P007,7,26.65
1,S02,P008,12,46.27
1,S02,P009,11,43.02
1,S02,P010,31,21.57
1,S02,P011,32,30.64
1,S02,P012,6,30.14
1,S02,P013,26,24.84
1,S02,P014,24,36.82
1,S02,P015,37,43.61
1,S02,P016,27,44.41
1,S02,P017,11,31.28
1,S02,P018,39,29.25
1,S02,P019,19,39.45
1,S02,P020,14,50.16
1,S02,P021,14,27.3
1,S02,P022,9,36.78
1,S02,P023,23,26.31
1,S02,P024,24,21.0
1,S02,P025,22,46.78
1,S02,P026,12,51.9
1,S02,P027,26,30.14
1,S02,P028,16,41.13
1,S02,P029,11,38.18
1,S02,P030,25,28.51
1,S02,P031,46,31.46
1,S02,P032,22,52.37
1,S02,P033,17,39.0
1,S02,P034,7,54.19
1,S02,P035,13,11.96
